unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
111850,u/s7/u_apply/d0i[23]_INST_0_i_6,CARRY4,SLICE_X55Y276,SLICEL.CARRY4,SLICE_X55Y276,CLBLM_R_X37Y276,159,552,,,,,,1,0
111851,u/s7/u_apply/d0i[23]_INST_0_i_7,LUT1,SLICE_X55Y276,SLICEL.D6LUT,SLICE_X55Y276,CLBLM_R_X37Y276,159,552,,,,,,1,0
111852,u/s7/u_apply/d0i[23]_INST_0_i_8,LUT1,SLICE_X55Y276,SLICEL.C6LUT,SLICE_X55Y276,CLBLM_R_X37Y276,159,552,,,,,,1,0
111853,u/s7/u_apply/d0i[23]_INST_0_i_9,LUT1,SLICE_X55Y276,SLICEL.B6LUT,SLICE_X55Y276,CLBLM_R_X37Y276,159,552,,,,,,1,0
111854,u/s7/u_apply/d0i[24]_INST_0,LUT5,SLICE_X63Y277,SLICEL.A6LUT,SLICE_X63Y277,CLBLM_R_X43Y277,183,554,,,,,,1,0
111855,u/s7/u_apply/d0i[25]_INST_0,LUT5,SLICE_X63Y277,SLICEL.B6LUT,SLICE_X63Y277,CLBLM_R_X43Y277,183,554,,,,,,1,0
111856,u/s7/u_apply/d0i[26]_INST_0,LUT5,SLICE_X62Y277,SLICEM.A6LUT,SLICE_X62Y277,CLBLM_R_X43Y277,181,554,,,,,,1,0
111857,u/s7/u_apply/d0i[27]_INST_0,LUT5,SLICE_X63Y277,SLICEL.C6LUT,SLICE_X63Y277,CLBLM_R_X43Y277,183,554,,,,,,1,0
111858,u/s7/u_apply/d0i[27]_INST_0_i_1,CARRY4,SLICE_X59Y277,SLICEL.CARRY4,SLICE_X59Y277,CLBLM_L_X40Y277,171,554,,,,,,1,0
111859,u/s7/u_apply/d0i[27]_INST_0_i_10,LUT1,SLICE_X55Y277,SLICEL.A6LUT,SLICE_X55Y277,CLBLM_R_X37Y277,159,554,,,,,,1,0
111860,u/s7/u_apply/d0i[27]_INST_0_i_2,LUT6,SLICE_X59Y277,SLICEL.D6LUT,SLICE_X59Y277,CLBLM_L_X40Y277,171,554,,,,,,1,0
111861,u/s7/u_apply/d0i[27]_INST_0_i_3,LUT6,SLICE_X59Y277,SLICEL.C6LUT,SLICE_X59Y277,CLBLM_L_X40Y277,171,554,,,,,,1,0
111862,u/s7/u_apply/d0i[27]_INST_0_i_4,LUT6,SLICE_X59Y277,SLICEL.B6LUT,SLICE_X59Y277,CLBLM_L_X40Y277,171,554,,,,,,1,0
111863,u/s7/u_apply/d0i[27]_INST_0_i_5,LUT6,SLICE_X59Y277,SLICEL.A6LUT,SLICE_X59Y277,CLBLM_L_X40Y277,171,554,,,,,,1,0
111864,u/s7/u_apply/d0i[27]_INST_0_i_6,CARRY4,SLICE_X55Y277,SLICEL.CARRY4,SLICE_X55Y277,CLBLM_R_X37Y277,159,554,,,,,,1,0
111865,u/s7/u_apply/d0i[27]_INST_0_i_7,LUT1,SLICE_X55Y277,SLICEL.D6LUT,SLICE_X55Y277,CLBLM_R_X37Y277,159,554,,,,,,1,0
111866,u/s7/u_apply/d0i[27]_INST_0_i_8,LUT1,SLICE_X55Y277,SLICEL.C6LUT,SLICE_X55Y277,CLBLM_R_X37Y277,159,554,,,,,,1,0
111867,u/s7/u_apply/d0i[27]_INST_0_i_9,LUT1,SLICE_X55Y277,SLICEL.B6LUT,SLICE_X55Y277,CLBLM_R_X37Y277,159,554,,,,,,1,0
111868,u/s7/u_apply/d0i[28]_INST_0,LUT5,SLICE_X62Y278,SLICEM.A6LUT,SLICE_X62Y278,CLBLM_R_X43Y278,181,556,,,,,,1,0
111869,u/s7/u_apply/d0i[29]_INST_0,LUT5,SLICE_X62Y278,SLICEM.B6LUT,SLICE_X62Y278,CLBLM_R_X43Y278,181,556,,,,,,1,0
111870,u/s7/u_apply/d0i[2]_INST_0,LUT5,SLICE_X63Y271,SLICEL.B6LUT,SLICE_X63Y271,CLBLM_R_X43Y271,183,542,,,,,,1,0
111871,u/s7/u_apply/d0i[30]_INST_0,LUT5,SLICE_X61Y279,SLICEL.A6LUT,SLICE_X61Y279,CLBLM_L_X42Y279,179,558,,,,,,1,0
111872,u/s7/u_apply/d0i[31]_INST_0,LUT5,SLICE_X59Y280,SLICEL.A6LUT,SLICE_X59Y280,CLBLM_L_X40Y280,171,560,,,,,,1,0
111873,u/s7/u_apply/d0i[31]_INST_0_i_1,CARRY4,SLICE_X59Y278,SLICEL.CARRY4,SLICE_X59Y278,CLBLM_L_X40Y278,171,556,,,,,,1,0
111874,u/s7/u_apply/d0i[31]_INST_0_i_10,LUT1,SLICE_X55Y278,SLICEL.A6LUT,SLICE_X55Y278,CLBLM_R_X37Y278,159,556,,,,,,1,0
111875,u/s7/u_apply/d0i[31]_INST_0_i_2,LUT6,SLICE_X59Y278,SLICEL.D6LUT,SLICE_X59Y278,CLBLM_L_X40Y278,171,556,,,,,,1,0
111876,u/s7/u_apply/d0i[31]_INST_0_i_3,LUT6,SLICE_X59Y278,SLICEL.C6LUT,SLICE_X59Y278,CLBLM_L_X40Y278,171,556,,,,,,1,0
111877,u/s7/u_apply/d0i[31]_INST_0_i_4,LUT6,SLICE_X59Y278,SLICEL.B6LUT,SLICE_X59Y278,CLBLM_L_X40Y278,171,556,,,,,,1,0
111878,u/s7/u_apply/d0i[31]_INST_0_i_5,LUT6,SLICE_X59Y278,SLICEL.A6LUT,SLICE_X59Y278,CLBLM_L_X40Y278,171,556,,,,,,1,0
111879,u/s7/u_apply/d0i[31]_INST_0_i_6,CARRY4,SLICE_X55Y278,SLICEL.CARRY4,SLICE_X55Y278,CLBLM_R_X37Y278,159,556,,,,,,1,0
111880,u/s7/u_apply/d0i[31]_INST_0_i_7,LUT1,SLICE_X55Y278,SLICEL.D6LUT,SLICE_X55Y278,CLBLM_R_X37Y278,159,556,,,,,,1,0
111881,u/s7/u_apply/d0i[31]_INST_0_i_8,LUT1,SLICE_X55Y278,SLICEL.C6LUT,SLICE_X55Y278,CLBLM_R_X37Y278,159,556,,,,,,1,0
111882,u/s7/u_apply/d0i[31]_INST_0_i_9,LUT1,SLICE_X55Y278,SLICEL.B6LUT,SLICE_X55Y278,CLBLM_R_X37Y278,159,556,,,,,,1,0
